model,pulse rate,amplitude,stimulus amplitude (uA),nof_spikes
briaire05,50,1*threshold,1179.17,4
briaire05,50,1.5*threshold,1768.76,4
briaire05,50,2*threshold,2358.34,4
briaire05,50,3*threshold,3537.51,5
briaire05,100,1*threshold,1179.17,1
briaire05,100,1.5*threshold,1768.76,9
briaire05,100,2*threshold,2358.34,9
briaire05,100,3*threshold,3537.51,10
briaire05,200,1*threshold,1179.17,1
briaire05,200,1.5*threshold,1768.76,19
briaire05,200,2*threshold,2358.34,19
briaire05,200,3*threshold,3537.51,20
briaire05,500,1*threshold,1179.17,1
briaire05,500,1.5*threshold,1768.76,33
briaire05,500,2*threshold,2358.34,25
briaire05,500,3*threshold,3537.51,50
briaire05,1000,1*threshold,1179.17,1
briaire05,1000,1.5*threshold,1768.76,50
briaire05,1000,2*threshold,2358.34,50
briaire05,1000,3*threshold,3537.51,100
briaire05,2000,1*threshold,1179.17,1
briaire05,2000,1.5*threshold,1768.76,1
briaire05,2000,2*threshold,2358.34,1
briaire05,2000,3*threshold,3537.51,200
briaire05,5000,1*threshold,1179.12,1
briaire05,5000,1.5*threshold,1768.68,1
briaire05,5000,2*threshold,2358.24,1
briaire05,5000,3*threshold,3537.36,251
briaire05,10000,1*threshold,1167.24,1
briaire05,10000,1.5*threshold,1750.87,1
briaire05,10000,2*threshold,2334.49,1
briaire05,10000,3*threshold,3501.73,2
imennov09,50,1*threshold,70.83,4
imennov09,50,1.5*threshold,106.25,4
imennov09,50,2*threshold,141.67,4
imennov09,50,3*threshold,212.5,4
imennov09,100,1*threshold,70.83,1
imennov09,100,1.5*threshold,106.25,9
imennov09,100,2*threshold,141.67,9
imennov09,100,3*threshold,212.5,9
imennov09,200,1*threshold,70.83,1
imennov09,200,1.5*threshold,106.25,19
imennov09,200,2*threshold,141.67,19
imennov09,200,3*threshold,212.5,19
imennov09,500,1*threshold,70.83,1
imennov09,500,1.5*threshold,106.25,49
imennov09,500,2*threshold,141.67,49
imennov09,500,3*threshold,212.5,49
imennov09,1000,1*threshold,70.83,1
imennov09,1000,1.5*threshold,106.25,99
imennov09,1000,2*threshold,141.66,99
imennov09,1000,3*threshold,212.5,99
imennov09,2000,1*threshold,69.82,1
imennov09,2000,1.5*threshold,104.73,89
imennov09,2000,2*threshold,139.64,100
imennov09,2000,3*threshold,209.46,89
imennov09,5000,1*threshold,57.37,1
imennov09,5000,1.5*threshold,86.05,73
imennov09,5000,2*threshold,114.74,70
imennov09,5000,3*threshold,172.1,68
imennov09,10000,1*threshold,45.41,1
imennov09,10000,1.5*threshold,68.11,70
imennov09,10000,2*threshold,90.82,49
imennov09,10000,3*threshold,136.22,69
rattay01,50,1*threshold,1241.86,4
rattay01,50,1.5*threshold,1862.8,4
rattay01,50,2*threshold,2483.73,4
rattay01,50,3*threshold,3725.59,4
rattay01,100,1*threshold,1241.86,9
rattay01,100,1.5*threshold,1862.8,9
rattay01,100,2*threshold,2483.73,9
rattay01,100,3*threshold,3725.59,9
rattay01,200,1*threshold,1241.77,14
rattay01,200,1.5*threshold,1862.65,19
rattay01,200,2*threshold,2483.53,19
rattay01,200,3*threshold,3725.3,19
rattay01,500,1*threshold,1241.86,1
rattay01,500,1.5*threshold,1862.8,49
rattay01,500,2*threshold,2483.73,49
rattay01,500,3*threshold,3725.59,49
rattay01,1000,1*threshold,1241.86,1
rattay01,1000,1.5*threshold,1862.8,50
rattay01,1000,2*threshold,2483.73,50
rattay01,1000,3*threshold,3725.59,50
rattay01,2000,1*threshold,1241.8,1
rattay01,2000,1.5*threshold,1862.7,26
rattay01,2000,2*threshold,2483.6,50
rattay01,2000,3*threshold,3725.4,50
rattay01,5000,1*threshold,1209.88,1
rattay01,5000,1.5*threshold,1814.81,1
rattay01,5000,2*threshold,2419.75,1
rattay01,5000,3*threshold,3629.63,1
rattay01,10000,1*threshold,1100.84,1
rattay01,10000,1.5*threshold,1651.26,1
rattay01,10000,2*threshold,2201.68,1
rattay01,10000,3*threshold,3302.53,1
smit10,50,1*threshold,1025.43,2
smit10,50,1.5*threshold,1538.15,4
smit10,50,2*threshold,2050.86,4
smit10,50,3*threshold,3076.29,4
smit10,100,1*threshold,1025.43,1
smit10,100,1.5*threshold,1538.15,9
smit10,100,2*threshold,2050.86,9
smit10,100,3*threshold,3076.29,9
smit10,200,1*threshold,1025.43,1
smit10,200,1.5*threshold,1538.15,19
smit10,200,2*threshold,2050.86,19
smit10,200,3*threshold,3076.29,19
smit10,500,1*threshold,1025.43,1
smit10,500,1.5*threshold,1538.15,25
smit10,500,2*threshold,2050.86,25
smit10,500,3*threshold,3076.29,25
smit10,1000,1*threshold,1025.43,1
smit10,1000,1.5*threshold,1538.15,25
smit10,1000,2*threshold,2050.86,33
smit10,1000,3*threshold,3076.29,1
smit10,2000,1*threshold,1025.88,1
smit10,2000,1.5*threshold,1538.82,1
smit10,2000,2*threshold,2051.76,1
smit10,2000,3*threshold,3077.64,25
smit10,5000,1*threshold,1100.91,1
smit10,5000,1.5*threshold,1651.37,1
smit10,5000,2*threshold,2201.82,1
smit10,5000,3*threshold,3302.73,1
smit10,10000,1*threshold,1036.48,1
smit10,10000,1.5*threshold,1554.72,1
smit10,10000,2*threshold,2072.95,1
smit10,10000,3*threshold,3109.43,1
