model,knoise ratio,jitter (us)
briaire_05,0,0
briaire_05,0.1,1.578035612
briaire_05,0.2,2.3548619385
briaire_05,0.3,2.8950680195
briaire_05,0.4,3.5749540687
briaire_05,0.5,4.1396557223
briaire_05,0.6,4.4010364966
briaire_05,0.7,5.3979180281
briaire_05,0.8,5.510616098
briaire_05,0.9,6.0320702701
briaire_05,1,6.1516868013
briaire_05,1.25,10.512586978
briaire_05,1.5,11.9926515576
briaire_05,1.75,17.8381836966
briaire_05,2,22.1194152967
briaire_05,2.25,23.7788943316
briaire_05,2.5,28.7081185057
briaire_05,2.75,31.1303796487
briaire_05,3,34.0893558818
rattay_01,0,0
rattay_01,0.1,100.3572660872
rattay_01,0.2,136.6188711104
rattay_01,0.3,157.355379236
rattay_01,0.4,175.8788273357
rattay_01,0.5,173.6922494719
rattay_01,0.6,179.454199195
rattay_01,0.7,178.1698872716
rattay_01,0.8,174.8337878929
rattay_01,0.9,173.5820839849
rattay_01,1,167.6007419189
rattay_01,1.25,181.301451426
rattay_01,1.5,149.5367950885
rattay_01,1.75,161.0627107107
rattay_01,2,138.3266629623
rattay_01,2.25,148.1360083294
rattay_01,2.5,156.6756755071
rattay_01,2.75,174.540571481
rattay_01,3,165.1690180924
smit_10,0,0
smit_10,0.1,10.9801270658
smit_10,0.2,23.0924265578
smit_10,0.3,35.4600313541
smit_10,0.4,46.489026324
smit_10,0.5,54.6796287811
smit_10,0.6,62.0517335634
smit_10,0.7,63.7779980982
smit_10,0.8,64.3903622978
smit_10,0.9,67.5749127517
smit_10,1,74.7780932786
smit_10,1.25,76.29641645
smit_10,1.5,87.4972732527
smit_10,1.75,90.3478942514
smit_10,2,98.1888253344
smit_10,2.25,94.1672505603
smit_10,2.5,104.3854085913
smit_10,2.75,104.2949466284
smit_10,3,111.2587223131
