phase duration (us),threshold (uA)
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
14.0,0.0
15.0,0.0
17.0,0.0
19.0,0.0
22.0,0.0
24.0,0.0
27.0,0.0
30.0,0.0
34.0,0.0
38.0,931.11572265625
42.0,872.4975585937499
48.0,803.5583496093749
53.0,758.575439453125
60.0,708.905029296875
67.0,670.3308105468751
75.0,635.8154296875001
84.0,605.6579589843751
94.0,579.7729492187499
105.0,557.8613281250001
118.0,538.1835937499999
132.0,522.2656250000001
147.0,509.44213867187517
165.0,498.07739257812494
185.0,488.97094726562483
207.0,481.86035156250006
232.0,476.2451171875
260.0,472.01538085937483
291.0,468.9697265625
326.0,466.83349609375
365.0,465.4541015625
408.0,464.63012695312506
457.0,464.178466796875
512.0,463.96484375
