interpulse interval,minimum required amplitude,threshold
0.001288,0.00477424270032685,0.00025786888599395747
0.00128955,0.004705858910188281,0.00025786888599395747
0.0012911,0.004672141646380792,0.00025786888599395747
0.00129265,0.004605534034629951,0.00025786888599395747
0.0012942000000000001,0.004572600035365894,0.00025786888599395747
0.00129575,0.004507372051272397,0.00025786888599395747
0.0012973000000000001,0.00447504056319559,0.00025786888599395747
0.00129885,0.00441085959599178,0.00025786888599395747
0.0013004,0.004378976917268743,0.00025786888599395747
0.00130195,0.004315555237122338,0.00025786888599395747
0.0013035000000000002,0.004252496908110286,0.00025786888599395747
0.00130505,0.004221070416429027,0.00025786888599395747
0.0013066,0.004158361912789985,0.00025786888599395747
0.0013081500000000001,0.004127055308538842,0.00025786888599395747
0.0013097,0.0040644771440545915,0.00025786888599395747
0.0013112500000000001,0.004033183450757462,0.00025786888599395747
0.0013128,0.003970528435356471,0.00025786888599395747
0.0013143500000000002,0.003939144980188585,0.00025786888599395747
0.0013159,0.0038762089978359874,0.00025786888599395747
0.00131745,0.0038446337227799167,0.00025786888599395747
0.001319,0.003781209583404176,0.00025786888599395747
0.0013205500000000002,0.003717336634674665,0.00025786888599395747
0.0013221,0.003685195736871377,0.00025786888599395747
0.00132365,0.003620382747728285,0.00025786888599395747
0.0013252000000000001,0.003587545273215652,0.00025786888599395747
0.00132675,0.0035212432207097767,0.00025786888599395747
0.0013283000000000001,0.0034878505751746044,0.00025786888599395747
0.00132985,0.0034204670765683428,0.00025786888599395747
0.0013314000000000002,0.0033864387202498843,0.00025786888599395747
0.00133295,0.003317623950170229,0.00025786888599395747
0.0013345,0.0032828037220056674,0.00025786888599395747
0.0013360500000000003,0.003212255195244325,0.00025786888599395747
0.0013376000000000002,0.0031403792994490224,0.00025786888599395747
0.00133915,0.003103897861868176,0.00025786888599395747
0.0013407,0.0030297527122033325,0.00025786888599395747
0.0013422500000000001,0.0029920465784132946,0.00025786888599395747
0.0013438,0.0029152559127905418,0.00025786888599395747
0.0013453500000000001,0.0028761209667564455,0.00025786888599395747
0.0013469,0.0027962335165926788,0.00025786888599395747
0.0013484500000000002,0.0027554183021149467,0.00025786888599395747
0.00135,0.0026718684446629484,0.00025786888599395747
0.001542105263157895,0.00029303992322326155,0.00025786888599395747
0.0017342105263157897,0.0002684285708386369,0.00025786888599395747
0.0019263157894736842,0.00025188840913386906,0.00025786888599395747
0.002118421052631579,0.00024281016404103178,0.00025786888599395747
0.0023105263157894742,0.00023998758357095078,0.00025786888599395747
0.0025026315789473683,0.00024161128973986475,0.00025786888599395747
0.0026947368421052632,0.0002454396950082582,0.00025786888599395747
0.002886842105263158,0.0002495300082009066,0.00025786888599395747
0.0030789473684210526,0.0002527036436586627,0.00025786888599395747
0.0032710526315789475,0.00025459417621050297,0.00025786888599395747
0.0034631578947368425,0.0002553792851759339,0.00025786888599395747
0.0036552631578947365,0.0002554487584046682,0.00025786888599395747
0.0038473684210526314,0.00025518070240707394,0.00025786888599395747
0.004039473684210526,0.0002548407139514097,0.00025786888599395747
0.004231578947368421,0.00025456896910981176,0.00025786888599395747
0.004423684210526316,0.0002544115784323252,0.00025786888599395747
0.00461578947368421,0.0002543550161576035,0.00025786888599395747
0.004807894736842105,0.0002543611642309428,0.00025786888599395747
0.005,0.000254396208248977,0.00025786888599395747
