phase duration (us),pulse form,threshold
40,monophasic,274.367
40,monophasic,275.12
40,monophasic,243.751
40,monophasic,251.864
40,monophasic,271.193
40,monophasic,287.476
40,monophasic,287.509
40,monophasic,276.179
40,monophasic,270.461
40,monophasic,266.568
40,monophasic,272.274
40,monophasic,285.627
40,monophasic,297.467
40,monophasic,258.621
40,monophasic,256.942
40,monophasic,290.494
40,monophasic,280.518
40,monophasic,270.486
40,monophasic,239.997
40,monophasic,255.395
40,monophasic,272.024
40,monophasic,270.205
40,monophasic,269.4
40,monophasic,289.931
40,monophasic,275.674
40,monophasic,246.064
40,monophasic,281.587
40,monophasic,262.693
40,monophasic,281.512
40,monophasic,287.38
40,monophasic,272.572
40,monophasic,300.598
40,monophasic,236.883
40,monophasic,264.721
40,monophasic,272.076
40,monophasic,281.236
40,monophasic,293.51
40,monophasic,287.932
40,monophasic,288.852
40,monophasic,265.55
40,monophasic,267.179
40,monophasic,284.657
40,monophasic,267.05
40,monophasic,266.846
40,monophasic,271.159
40,monophasic,256.563
40,monophasic,278.204
40,monophasic,267.219
40,monophasic,277.949
40,monophasic,290.73
40,monophasic,270.116
40,monophasic,279.272
40,monophasic,273.607
40,monophasic,270.442
40,monophasic,259.132
40,monophasic,286.194
40,monophasic,275.065
40,monophasic,269.906
40,monophasic,269.438
40,monophasic,281.38
100,monophasic,124.911
100,monophasic,128.511
100,monophasic,139.49
100,monophasic,130.4
100,monophasic,135.219
100,monophasic,122.203
100,monophasic,128.792
100,monophasic,131.448
100,monophasic,123.719
100,monophasic,127.426
100,monophasic,124.027
100,monophasic,144.35
100,monophasic,131.865
100,monophasic,130.819
100,monophasic,138.446
100,monophasic,134.975
100,monophasic,134.087
100,monophasic,130.888
100,monophasic,126.556
100,monophasic,125.856
100,monophasic,134.274
100,monophasic,129.624
100,monophasic,122.33
100,monophasic,134.158
100,monophasic,141.752
100,monophasic,132.165
100,monophasic,139.359
100,monophasic,138.489
100,monophasic,131.939
100,monophasic,131.529
100,monophasic,124.974
100,monophasic,119.878
100,monophasic,138.113
100,monophasic,129.807
100,monophasic,124.05
100,monophasic,131.169
100,monophasic,121.649
100,monophasic,138.501
100,monophasic,135.854
100,monophasic,131.748
100,monophasic,131.44
100,monophasic,128.135
100,monophasic,123.571
100,monophasic,135.712
100,monophasic,128.631
100,monophasic,136.07
100,monophasic,130.514
100,monophasic,133.637
100,monophasic,135.407
100,monophasic,139.472
100,monophasic,132.792
100,monophasic,142.305
100,monophasic,130.186
100,monophasic,123.62
100,monophasic,130.118
100,monophasic,130.084
100,monophasic,136.641
100,monophasic,128.856
100,monophasic,142.433
100,monophasic,129.788
200,biphasic,61.082
200,biphasic,50.712
200,biphasic,74.085
200,biphasic,72.071
200,biphasic,73.549
200,biphasic,59.759
200,biphasic,51.9
200,biphasic,61.153
200,biphasic,97.029
200,biphasic,60.865
200,biphasic,71.173
200,biphasic,69.905
200,biphasic,61.291
200,biphasic,71.71
200,biphasic,63.859
200,biphasic,93.97
200,biphasic,61.581
200,biphasic,54.289
200,biphasic,63.212
200,biphasic,60.95
200,biphasic,55.778
200,biphasic,69.351
200,biphasic,65.215
200,biphasic,67.665
200,biphasic,71.736
200,biphasic,61.954
200,biphasic,71.619
200,biphasic,69.278
200,biphasic,64.878
200,biphasic,93.84
200,biphasic,67.442
200,biphasic,75.558
200,biphasic,92.3
200,biphasic,57.647
200,biphasic,55.503
200,biphasic,102.255
200,biphasic,59.598
200,biphasic,57.666
200,biphasic,69.277
200,biphasic,92.281
200,biphasic,88.803
200,biphasic,68.211
200,biphasic,51.723
200,biphasic,50.792
200,biphasic,57.821
200,biphasic,89.096
200,biphasic,66.62
200,biphasic,100.578
200,biphasic,78.19
200,biphasic,62.175
200,biphasic,62.032
200,biphasic,50.189
200,biphasic,53.397
200,biphasic,86.093
200,biphasic,58.426
200,biphasic,64.646
200,biphasic,89.1
200,biphasic,55.672
200,biphasic,89.232
200,biphasic,74.904
400,biphasic,71.051
400,biphasic,68.692
400,biphasic,57.9
400,biphasic,64.958
400,biphasic,66.942
400,biphasic,72.971
400,biphasic,46.203
400,biphasic,54.234
400,biphasic,73.859
400,biphasic,45.625
400,biphasic,64.737
400,biphasic,66.597
400,biphasic,48.701
400,biphasic,68.732
400,biphasic,67.42
400,biphasic,46.014
400,biphasic,74.926
400,biphasic,70.431
400,biphasic,65.535
400,biphasic,48.26
400,biphasic,62.668
400,biphasic,69.933
400,biphasic,78.022
400,biphasic,42.972
400,biphasic,76.667
400,biphasic,66.921
400,biphasic,44.543
400,biphasic,70.527
400,biphasic,48.147
400,biphasic,73.138
400,biphasic,49.178
400,biphasic,68.513
400,biphasic,68.49
400,biphasic,68.75
400,biphasic,70.322
400,biphasic,45.018
400,biphasic,39.392
400,biphasic,72.31
400,biphasic,69.296
400,biphasic,73.338
400,biphasic,70.892
400,biphasic,32.406
400,biphasic,47.849
400,biphasic,50.797
400,biphasic,66.084
400,biphasic,44.885
400,biphasic,39.937
400,biphasic,72.407
400,biphasic,65.59
400,biphasic,72.843
400,biphasic,33.342
400,biphasic,37.38
400,biphasic,67.245
400,biphasic,68.035
400,biphasic,38.792
400,biphasic,77.762
400,biphasic,71.104
400,biphasic,70.803
400,biphasic,66.517
400,biphasic,76.117
